RoundID,RoundVersion,StartDate,EndDate,RoundVersionDisplay,NWAUVersion,ICDVersion,DRG1Version,DRG2Version,AMHCCVersion,SNAPVersion,CostWeightVersion,SRG_DRGVersion,DRG4Version
R28.25,V28.25,2023-07-01,2023-09-30,R28.25,23,ICD10V12,11.0,7.0,1,S4,10/11,6.0,9.0
R28.50,V28.50,2023-07-01,2023-12-31,R28.50,23,ICD10V12,11.0,7.0,1,S4,10/11,6.0,9.0
R28.75,V28.75,2023-07-01,2024-03-31,R28.75,23,ICD10V12,11.0,7.0,1,S4,10/11,6.0,9.0
R28,V28,2023-07-01,2024-06-30,R28,23,ICD10V12,11.0,7.0,1,S4,10/11,6.0,9.0
R29.25,V29.25,2024-07-01,2024-09-30,R29.25,24,ICD10V12,11.0,7.0,1,S5,10/11,6.0,9.0
R29.50,V29.50,2024-07-01,2024-12-31,R29.50,24,ICD10V12,11.0,7.0,1,S5,10/11,6.0,9.0
R29.75,V29.75,2024-07-01,2025-03-31,R29.75,24,ICD10V12,11.0,7.0,1,S5,10/11,6.0,9.0
R29,V29,2024-07-01,2025-06-30,R29,24,ICD10V12,11.0,7.0,1,S5,10/11,6.0,9.0
R30.50,R30.50,2025-07-01,2025-12-31,R30.50,25,ICD10V13,12.0,7.0,1.1,S5,10/11,6.0,9.0
R30,R30,2025-07-01,2026-06-30,R30,25,ICD10V13,12.0,7.0,1.1,S5,10/11,6.0,9.0